Country Name,Region,Income Group,Happiness Score,Year,SP.POP.DPND,GC.XPN.TOTL.GD.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS
Afghanistan,South Asia,Low income,3.575,2015,88.7687273393836,37.022569573642706,19907111418.9938,1.4513146545800502,2.94818036425211,0.40939108282441294,41.5,73.1,33736494,652860.0,7.58538233129798,55.1255265979591,3.561966737111413
Afghanistan,South Asia,Low income,3.36,2016,86.5709321507136,16.468816125899902,19046357714.4928,2.2603142045464,4.954033136455231,1.0879395311509201,40.3,70.4,34656032,652860.0,18.687451812873302,47.659055425610504,4.359999895095825
Afghanistan,South Asia,Low income,3.79399991035461,2017,84.5872779704028,19.6111000853768,19543976895.4248,2.66529204636834,7.15570536499632,0.748720444738609,39.2,67.9,35530081,652860.0,20.9522729975942,51.236880795676406,4.276149988174435
Angola,Sub-Saharan Africa,Lower middle income,4.033,2015,97.5761986937093,20.818831842683,116193649124.475,0.9435756130607299,30.823167330169102,12.0243365280067,30.6,88.9,27859305,1246700.0,11.002019136671601,62.888520784974396,5.558599948883055
Angola,Sub-Saharan Africa,Lower middle income,3.866,2016,97.2742116775173,17.5116635350998,101123851090.473,-2.58009724295775,30.093522281395696,11.638110555018198,29.9,84.6,28813463,1246700.0,9.732512234414349,53.3701552785783,4.739756402296899
Angola,Sub-Saharan Africa,Lower middle income,3.79500007629395,2017,96.8985180613422,16.6711371453758,122123822333.73,-0.147207422348259,29.8816832372997,2.3303244124747238,29.1,81.1,29784193,1246700.0,9.223777453707688,52.2568214486025,14.07290382738466
Albania,Europe & Central Asia,Upper middle income,4.959,2015,44.0166438612638,24.4461757489854,11386931489.7968,2.2199999999999105,8.19454970239983,4.99999999999999,5.9,9.4,2880703,28750.0,18.515789855309897,71.8010161004583,17.0799999237061
Albania,Europe & Central Asia,Upper middle income,4.655,2016,44.0015401014685,23.9117146844842,11883682170.8236,3.3500000000000503,7.455070357518821,4.2999999999998595,6.0,9.1,2876101,28750.0,17.5571777277223,74.669259671744,10.945033444298637
Albania,Europe & Central Asia,Upper middle income,4.64400005340576,2017,44.0595057133346,23.8331513066639,13038538300.2644,3.83554384465101,8.59412732164499,13.455279855652002,6.1,8.8,2873457,28750.0,18.860235071988498,78.0814560759772,13.75
United Arab Emirates,Middle East & North Africa,High income,6.901,2015,17.3824550434515,4.28850810607108,358135057862.492,5.0647015294483095,52.1911026868636,5.55550164481664,4.5,8.7,9154302,83600.0,0.057734024191580004,175.221307567909,3.7184200108051306
United Arab Emirates,Middle East & North Africa,High income,6.573,2016,17.608178360838803,4.4659581193146,357045064669.84296,2.9884418208146397,51.287857064415,4.852173273516209,4.7,9.0,9269612,83600.0,0.043494700524233,176.747648042171,1.6355019807815598
United Arab Emirates,Middle East & North Africa,High income,6.6479997634887695,2017,17.7016699355506,4.0986390395129595,382575085091.899,0.7904003877944058,52.7688474149951,3.36156557420169,4.7,9.1,9400145,83600.0,0.066983605823316,172.81052692264197,2.46300005912781
Argentina,Latin America & Caribbean,High income,6.574,2015,56.5490070488899,25.0083932347048,594749285413.212,2.73115982828946,15.9957828960867,0.765932390755125,6.7,11.4,43417765,2780400.0,12.3365069418291,22.4862260889792,4.23349992434184
Argentina,Latin America & Caribbean,High income,6.65,2016,56.5422464275751,26.305915017712802,554860945013.62,-1.82254217028903,16.072773445058502,-5.19941824629092,6.3,10.9,43847430,2780400.0,12.1555053704666,26.1219138061676,6.533120059967049
Argentina,Latin America & Caribbean,High income,6.59899997711182,2017,56.4547646794728,24.5226515151507,637430331479.469,2.8544661372539903,15.9823020434667,3.0319100876606204,5.9,10.4,44271041,2780400.0,11.047801076661301,25.020836492070103,8.347399711608888
